source_file,WALL,층수,두께,수직철근
test1.png,AW1,11F~28F,300,D10@400
test1.png,AW1,1F~10F,300,D10@150
test1.png,AW1,PITF,300,D13@150
test1.png,AW1,B1F,300,D13@150
test1.png,AW1,B2F,300,D10@300
test1.png,AW1A,26F~28F,250,D10@450
test1.png,AW1A,24F~25F,300,D10@150
test1.png,AW1A,23F,300,D10@300
test1.png,AW1A,12F~22F,300,D10@400
test1.png,AW1A,B1F~11F,300,D10@150
test1.png,AW1A,B2F,300,D10@450
test1.png,AW2,6F~28F,200,D10@450
test1.png,AW2,5F,200,D10@200
test1.png,AW2,3F~4F,200,D13@150
test1.png,AW2,1F~2F,200,D13@100
test1.png,AW2,PITF,200,D16@100
test1.png,AW3,5F~28F,200,D10@450
test1.png,AW3,4F,200,D10@200
test1.png,AW3,2F~3F,200,D13@150
test1.png,AW3,1F,200,D13@100
test1.png,AW3,B1F~PITF,250,D10@100
test1.png,AW3,B2F,250,D10@300
test1.png,AW4,3F~28F,250,D10@450
test1.png,AW4,2F,250,D10@150
test1.png,AW4,1F,250,D13@150
test1.png,AW4,PITF,250,D13@100
test1.png,AW5,1F~27F,200,D10@250
test1.png,AW5,B2F~PITF,250,D10@450
test1.png,AHW1,28F,250,6-D10
test1.png,AHW1,26F~27F,250,8-D10
test1.png,AHW1,24F~25F,250,10-D10
test1.png,AHW1,20F~23F,250,12-D10
test1.png,AHW1,15F~19F,250,14-D10
test1.png,AHW1,14F,250,8-D13
test1.png,AHW1,7F~13F,250,10-D13
test1.png,AHW1,5F~6F,250,12-D13
test1.png,AHW1,4F,250,14-D13
test1.png,AHW1,3F,250,12-D16
test1.png,AHW1,B1F~2F,250,10-D16
test1.png,AHW1,B2F,250,14-D10
test1.png,AHW2,6F~28F,250,8-D10
test1.png,AHW2,2F~5F,250,6-D10
test1.png,AHW2,1F,250,8-D10
test1.png,AHW2,B2F~PITF,250,6-D10
test1.png,AHW3,2F~28F,250,D10@450
test1.png,AHW3,1F,250,D10@300
test1.png,AHW3,B1F~PITF,250,D10@200
test1.png,AHW3,B2F,250,D10@450
test1.png,AHW4,2F~28F,250,D10@450
test1.png,AHW4,1F,250,D10@300
test1.png,AHW4,B2F~PITF,250,D10@450
test1.png,AHW5,2F~28F,250,D10@450
test1.png,AHW5,B1F~1F,250,D10@200
test1.png,AHW5,B2F,250,D10@400
test1.png,AHW6,28F,250,D10@300
test1.png,AHW6,2F~27F,250,D10@450
test1.png,AHW6,1F,250,D10@300
test1.png,AHW6,B2F~PITF,250,D10@450
test2.png,11F~28F,횡방향 띠철근 상세,D10@230
test2.png,1F~10F,횡방향 띠철근 상세,D10@110
test2.png,PITF,-,D10@230
test2.png,B1F,-,D10@230
test2.png,B2F,-,D10@230
test2.png,26F~28F,-,D10@350
test2.png,24F~25F,-,D10@230
test2.png,23F,-,D10@290
test2.png,12F~22F,-,D10@290
test2.png,B1F~11F,-,D10@230
test2.png,B2F,-,D10@290
test2.png,6F~28F,-,D10@440
test2.png,5F,-,D10@440
test2.png,3F~4F,-,D10@440
test2.png,1F~2F,횡방향 띠철근 상세,D10@350
test2.png,PITF,횡방향 띠철근 상세,D10@350
test2.png,B2F,-,D10@350
test2.png,5F~28F,-,D10@440
test2.png,4F,-,D10@440
test2.png,2F~3F,-,D10@440
test2.png,1F,횡방향 띠철근 상세,D10@350
test2.png,B1F~PITF,-,D10@350
test2.png,B2F,-,D10@350
test2.png,3F~28F,-,D10@350
test2.png,2F,-,D10@350
test2.png,1F,횡방향 띠철근 상세,D10@280
test2.png,PITF,횡방향 띠철근 상세,D10@280
test2.png,28F,-,D10@350
test2.png,1F~27F,-,D10@350
test2.png,B2F~PITF,-,D10@350
test2.png,28F,-,D10@270
test2.png,26F~27F,-,D10@270
test2.png,24F~25F,-,D10@270
test2.png,20F~23F,-,D10@270
test2.png,15F~19F,-,D10@270
test2.png,14F,-,D10@140
test2.png,7F~13F,-,D10@140
test2.png,5F~6F,-,D10@140
test2.png,4F,-,D10@140
test2.png,3F,횡방향 띠철근 상세,D10@270
test2.png,B1F~2F,횡방향 띠철근 상세,D10@270
test2.png,B2F,-,D10@270
test2.png,6F~28F,-,D10@120
test2.png,2F~5F,-,D10@270
test2.png,1F,-,D10@120
test2.png,B2F~PITF,-,D10@270
test2.png,2F~28F,-,D10@270
test2.png,1F,-,D10@250
test2.png,B1F~PITF,-,D10@270
test2.png,B2F,-,D10@270
test2.png,2F~28F,-,D10@270
test2.png,1F,-,D10@200
test2.png,B2F~PITF,-,D10@270
test2.png,2F~28F,-,D10@270
test2.png,B1F~1F,-,D10@270
test2.png,B2F,-,D10@270
test2.png,28F,-,D10@200
test2.png,2F~27F,-,D10@270
test2.png,1F,-,D10@200
test2.png,B2F~PITF,-,D10@270
